City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Mataura,PF,-23.3470634,-149.4850445,71.75,100,0,7.96
Ushuaia,AR,-54.8019121,-68.3029511,33.8,86,90,5.82
Kirakira,SB,-10.4487148,161.8964131,82.19,100,56,19.37
Boyuibe,BO,-20.4413004,-63.27982249999999,82.1,40,88,20.83
Tuktoyaktuk,CA,69.445358,-133.034181,59.0,58,75,11.41
Sinnamary,GF,5.3746712,-52.9545991,81.2,94,0,10.76
Manaure,CO,11.772778,-72.444227,82.73,100,44,11.99
Kattivakkam,IN,12.9682126,80.2599427,82.4,88,75,3.36
Vestmanna,FO,62.16316999999999,-7.165286099999999,44.6,93,92,29.97
Hithadhoo,MV,-0.6060574,73.0892245,81.02,100,56,13.22
Qaanaaq,GL,77.4670434,-69.2284827,13.7,100,0,4.61
Port elizabeth,ZA,-33.7139247,25.5207358,57.2,71,0,11.41
Busselton,AU,-33.6554927,115.3500188,62.39,99,12,7.29
Hermanus,ZA,-34.4092004,19.2504436,36.2,97,12,2.48
Tocopilla,CL,-22.0857976,-70.1930064,50.87,100,0,6.4
Barentsburg,SJ,78.0648475,14.2334597,39.2,69,20,17.22
Rikitea,PF,-23.119901,-134.9702654,70.67,100,80,9.98
Bundaberg,AU,-24.8669736,152.3509714,68.51,100,92,18.03
Longyearbyen,SJ,78.22317220000001,15.6267229,39.2,69,20,17.22
Ribeira grande,PT,37.8210369,-25.5148137,71.6,78,75,5.82
Corum,TR,40.54992560000001,34.9537242,62.6,63,0,6.93
Alofi,NU,-19.0553711,-169.9178709,75.2,88,75,13.87
Cape town,ZA,-33.9248685,18.4240553,51.8,87,40,4.7
Kudahuvadhoo,MV,2.6707039,72.8914233,82.1,100,92,14.12
Bowen,AU,-20.0014803,148.2262176,75.8,94,48,4.72
Brigham city,US,41.5102129,-112.0155015,82.4,24,1,4.7
Port alfred,ZA,-33.5864065,26.8851448,60.14,90,76,13.22
Ukiah,US,39.1501709,-123.2077831,77.0,57,1,5.82
Atuona,PF,-9.803279999999999,-139.0425741,78.23,100,20,13.11
Belaya gora,RU,68.549671,146.232876,36.11,84,64,9.42
Vila franca do campo,PT,37.7157269,-25.4345063,71.6,78,75,5.82
Albany,AU,-35.0275298,117.883959,63.83,71,0,4.38
Dikson,RU,73.50489,80.58091689999999,39.35,98,88,10.87
Ridgecrest,US,35.6224561,-117.6708966,89.6,13,20,18.34
Narsaq,GL,60.9129622,-46.0504831,42.8,75,92,3.36
Carnarvon,AU,-24.884,113.661,79.85,55,0,3.15
Namibe,AO,-15.1978317,12.1575544,64.82,100,92,7.18
Airai,PW,7.396611799999999,134.5690225,86.0,70,75,8.05
Torbay,CA,47.6580777,-52.7355238,50.0,100,90,20.8
Waddan,LY,29.1560917,16.1463317,63.38,94,0,5.61
Castro,CL,-42.4801402,-73.7624137,39.8,100,92,8.41
Arraial do cabo,BR,-22.9657374,-42.02798689999999,69.8,94,20,17.22
Touros,BR,-5.1961669,-35.4635381,77.87,82,76,17.13
Taolanaro,MG,-24.5965316,46.9028375,68.0,82,0,4.7
Bandarbeyla,SO,9.498579999999999,50.8105261,78.32,92,0,27.65
Jamestown,SH,-15.9286343,-5.7151749,66.8,100,44,26.31
Lompoc,US,34.6391501,-120.4579409,69.8,73,90,11.41
Khatanga,RU,71.964027,102.4406129,46.46,73,8,14.12
Mongoumba,CF,3.6378484,18.5908437,69.59,100,92,1.59
Punta arenas,CL,-53.1638329,-70.9170683,39.71,100,68,34.36
Bambous virieux,MU,-20.3438619,57.7636821,73.4,56,75,12.75
New norfolk,AU,-42.7828332,147.0593848,51.8,40,40,18.34
Hobart,AU,-42.8821377,147.3271949,51.8,40,40,18.34
Ucluelet,CA,48.9415997,-125.5463446,62.6,59,20,9.17
Young,AU,-34.3,148.3,49.79,72,32,18.25
Dolbeau,CA,48.881683,-72.2321138,68.0,56,20,10.29
Cayenne,GF,4.92242,-52.3134531,80.6,88,0,6.93
Port hedland,AU,-20.3106621,118.5878223,86.0,15,0,16.11
Ferme-neuve,CA,46.8143448,-75.6124452,58.79,89,0,4.27
Faya,TD,17.9236623,19.1107114,93.17,16,92,1.36
Kodiak,US,57.79000000000001,-152.4072221,53.6,81,90,16.11
Naqadeh,IR,36.956333,45.3878348,66.62,100,0,6.51
Souillac,MU,-20.5180739,57.52638589999999,73.4,56,75,12.75
Kavieng,PG,-2.5781167,150.8086082,79.49,100,44,2.48
Norman wells,CA,65.28149379999999,-126.8286524,60.8,55,20,9.17
Palmer,US,61.5997222,-149.1127777,60.8,54,90,23.04
Askiz,RU,53.14188069999999,90.4372401,47.63,86,56,9.08
Illoqqortoormiut,GL,70.48556909999999,-21.9628757,38.0,90,0,17.02
Tura,RU,64.2738514,100.2187928,44.75,77,88,5.61
Upernavik,GL,72.7862882,-56.1375527,35.66,100,24,15.79
Puerto ayora,EC,-0.7432918,-90.3156893,69.8,77,40,19.46
Boende,CD,-0.2842862,20.8850949,69.95,100,92,1.59
Bredasdorp,ZA,-34.5385222,20.0568771,46.4,81,68,4.7
Butaritari,KI,3.1166667,172.8,84.98,99,64,17.92
Ygatimi,PY,-24.12219,-55.648449,81.92,43,8,4.83
Severo-kurilsk,RU,50.66808,156.1138803,51.68,87,88,5.61
Lydenburg,ZA,-25.0815817,30.447285,48.35,72,0,1.7
Naze,JP,26.2123124,127.6791568,84.2,79,75,24.16
Saint-philippe,RE,-21.358118,55.764656,68.0,59,75,8.05
Belushya guba,RU,71.54555599999999,52.32027799999999,35.48,100,8,13.56
Tuatapere,NZ,-46.1357909,167.6892231,54.65,88,92,11.88
Anloga,GH,5.7872343,0.8913523,77.0,88,40,6.93
Bluff,NZ,-46.5996116,168.3457088,50.96,100,92,16.8
Skopelos,GR,39.1251493,23.6799766,73.55,100,0,8.97
Saleaula,WS,-13.4482906,-172.3367114,79.4,100,88,12.66
Thompson,CA,38.23917,-122.28056,78.8,64,40,18.34
Kefamenanu,ID,-9.4442228,124.4780429,88.85,43,20,3.71
Saldanha,ZA,-33.0276981,17.9176312,44.6,81,0,4.7
